player_id,Year,Medal
0,1992,
1,2012,
2,1920,
3,1900,Gold
26,1932,
27,1932,
29,1952,
31,2000,
32,1996,
33,2000,
35,1912,
36,1912,
37,1920,Bronze
38,1920,Bronze
39,1924,
41,1948,Bronze
42,1948,Gold
43,1948,
44,1948,Gold
45,1948,
46,1948,
47,1948,
48,1948,Gold
49,1952,
50,1952,Bronze
51,1952,
52,1952,
53,1952,
54,1952,
55,1952,
56,1952,
57,2000,
58,1948,
79,2008,Gold
80,2016,
81,2000,
82,2004,
86,1920,Silver
88,1984,
89,1968,
90,1972,
91,1988,Bronze
92,1996,Silver
93,2000,
94,1936,
95,1912,
96,1992,
97,1996,
98,2012,
100,1996,
101,1996,
102,1996,
103,2000,
104,2000,
105,1996,Bronze
106,1920,Silver
107,1912,
108,1912,
109,1912,
116,1920,
117,1912,Gold
118,1992,
124,1936,
125,1936,
126,1948,
127,1952,
128,1956,
129,1960,
130,1920,
131,1920,
132,1924,
133,1928,
134,2012,
135,2004,
136,2008,
137,1992,
138,1996,
139,2016,
140,2016,
141,2016,
142,2016,
143,2016,
144,2016,
145,1976,
146,2000,
147,1948,
148,2016,
149,1956,
150,1956,Gold
151,1988,
152,1924,
153,1924,
154,1956,
155,1960,
156,1960,
157,1960,
158,2016,Bronze
159,2008,Bronze
160,1992,
161,2016,Bronze
162,1972,
163,2008,Silver
164,2012,
165,2000,
166,2000,
167,2008,
168,2000,
169,1992,
170,1992,
171,2004,
172,2008,Gold
173,2008,Gold
174,2012,Gold
175,2016,Silver
176,2012,
177,2004,
178,2000,Gold
179,1968,
180,1996,
181,1924,
182,1996,Gold
183,2004,
184,2000,
185,1992,
186,2004,Silver
187,1976,
188,1980,Gold
189,1984,
190,1980,
191,1984,Bronze
192,1964,
193,1980,
194,1984,
195,2004,Silver
196,2004,
197,2012,
198,2008,
199,2004,
200,2008,Gold
201,1984,
202,2004,
203,2004,
204,1976,
205,1968,
206,1968,
207,1968,
208,1992,Silver
209,1936,
210,1936,Bronze
211,1972,
212,1920,
213,1928,
214,1936,Bronze
215,1972,
216,2012,
217,2016,
218,1988,Gold
219,1996,Gold
220,2000,Gold
221,1984,Gold
222,1988,Gold
223,1992,Silver
224,1996,
225,1980,
226,1984,Gold
227,1988,Gold
228,1992,Silver
229,1976,
230,1976,
231,1980,
232,2016,
233,1996,
234,1964,
235,2004,
236,1980,
237,1992,
238,1960,
239,1964,
240,1988,
241,1988,
242,2000,
243,1952,
244,2004,
246,2004,
247,2000,
248,2004,
249,2012,
250,1952,
251,1984,
253,2004,
254,2008,
255,2012,
256,2012,
257,2008,
258,2008,
259,2000,
260,2012,
261,1900,
262,2000,
263,2016,
264,2000,
267,2016,
268,1906,Bronze
269,1996,
270,2000,
271,2016,
272,2016,
273,1928,
274,2008,Bronze
275,2008,
279,1976,
280,1996,
281,2008,
282,2016,
283,1900,Gold
284,1900,
285,2000,
286,2008,Silver
287,2008,
288,2000,
289,2004,
290,2012,
291,2008,
292,2004,
293,2008,
294,2008,
295,2008,
296,2008,
297,2012,
298,2008,
299,2016,
300,1992,
301,1996,
302,1960,
303,1960,
304,1960,
305,1960,
306,1960,
307,1960,
308,1960,
309,1960,
310,1992,
311,2004,Silver
312,1964,
313,1972,
314,1952,
315,1972,
316,1984,
317,2016,
318,2000,
319,2000,
320,1972,
321,1960,
322,1952,
323,1960,
324,2000,
325,1960,
326,1968,
327,1972,
328,1972,
329,2000,
330,2004,
331,2000,
332,1992,
333,1960,
334,2004,
335,1948,
336,1948,
337,1948,
338,1952,
339,1952,
340,1960,
341,1976,
342,1984,
343,1968,
344,1948,
345,1992,
346,1972,
347,1948,
348,1948,
349,1948,
350,1952,
351,1952,
352,1960,
353,1960,
354,1952,
355,1960,
356,1976,
357,1988,
358,2008,
359,1984,
360,1988,
361,1992,
362,2004,
363,1972,
364,1976,
365,2008,
366,2016,
367,1996,
368,1964,
369,1960,
370,1964,
371,1936,
372,1948,
373,1948,
374,1952,
375,1952,
376,1952,
377,1952,
378,1952,
379,1960,
380,1984,
381,1960,
382,1964,
383,1964,
384,2008,
385,2008,
386,2016,
387,2016,
388,1992,
389,2004,
390,2000,
391,2000,
392,2000,
393,1964,
394,1960,
395,1996,
396,1976,
397,1948,
398,1948,
399,1948,
400,1948,
401,1948,
402,1948,
403,1948,
404,1948,
405,1948,
406,2004,
407,2008,
408,2016,
409,1972,
410,2016,
411,2016,
412,2016,
413,1948,
414,1948,
415,1948,
416,1948,
417,1948,
418,1948,
419,1948,
420,1948,
421,2008,
